id_hardskill,Hardskill
H-1,Sql
H-2,Microsoft Excel
H-3,Microsoft Office
H-4,Software
H-5,Power Bi
H-6,Power Point
H-7,Python
H-8,Machine Learning
H-9,Programming
H-10,Database
H-11,Query
H-12,Ocrartificial Intelligence
H-13,Java
H-14,Web
H-15,Tableau
H-16,Powerpoint
H-17,React
H-18,Etl
H-19,Mysql
H-20,Dashboard
H-21,Regression
H-22,Classification
H-23,Clustering
H-24,Html
H-25,Jsalgorithm
H-26,R
H-27,Visualisasi
H-28,Correlation
H-29,Laravel
H-30,Php
H-31,Data Miningpostgresql
H-32,Spreadsheet
H-33,Git
H-34,Django
H-35,Linux
H-36,Oop
H-37,Pytorch
H-38,Tensorflow
H-39,Kibana
H-40,Zoho
H-41,Data Warehouse
H-42,Hadoop
H-43,Github
H-44,Computer Vision
