id_magang,Soft Skill
ID-1,Komitmen
ID-1,Organisasi
ID-2,Bahasa Inggris
ID-2,Komunikasi
ID-3,Kolaborasi
ID-3,Komunikasi
ID-5,Komunikasi
ID-5,Tim
ID-5,Analisis
ID-5,Analisis
ID-5,Teliti
ID-5,Inisiatif
ID-6,Komunikasi
ID-6,Tim
ID-6,Analisis
ID-6,Teliti
ID-6,Inisiatif
ID-7,Bekerjasama
ID-7,Tim
ID-8,Komitmen
ID-8,Kerjasama
ID-8,Komunikasi
ID-9,Komitmen
ID-9,Kerjasama
ID-9,Komunikasi
ID-10,Komunikasi
ID-10,Tim
ID-10,Proaktif
ID-10,Presentasi
ID-10,Adaptasi
ID-10,Inisiatif
ID-11,Komunikasi
ID-11,Inisiatif
ID-11,Tim
ID-12,Komunikasi
ID-13,Komunikasi
ID-14,Komunikasi
ID-15,Problem Solving
ID-15,Kerjasama
ID-15,Komunikasi
ID-15,Tim
ID-15,Kritis
ID-15,Analisis
ID-15,Presentasi
ID-15,Adaptasi
ID-15,Inisiatif
ID-17,Kolaborasi
ID-17,Komunikasi
ID-17,Analisis
ID-18,Presentasi
ID-18,Komunikasi
ID-19,Presentasi
ID-19,Komunikasi
ID-20,Presentasi
ID-20,Komunikasi
ID-21,Presentasi
ID-21,Komunikasi
ID-22,Presentasi
ID-22,Komunikasi
ID-23,Presentasi
ID-23,Komunikasi
ID-24,Presentasi
ID-24,Komunikasi
ID-25,Presentasi
ID-25,Komunikasi
ID-26,Problem Solving
ID-26,Analisis
ID-26,Analisis
ID-27,Teliti
ID-27,Analisis
ID-27,Komunikasi
ID-27,Tim
ID-28,Bahasa Inggris
ID-28,Tim
ID-30,Teliti
ID-30,Komunikasi
ID-31,Teliti
ID-31,Jujur
ID-31,Responsible
ID-31,Organisasi
ID-32,Komunikasi
ID-32,Tim
ID-32,Kreatif
ID-32,Proaktif
ID-32,Analisis
ID-32,Bahasa
ID-32,Inisiatif
ID-33,Presentasi
ID-33,Komunikasi
ID-34,Komunikasi
ID-34,Tim
ID-34,Inisiatif
ID-34,Bahasa
ID-34,Thinking
ID-35,Organisasi
ID-36,Komunikasi
ID-36,Analisis
ID-36,Inisiatif
ID-36,Tim
ID-37,Komunikasi
ID-37,Analisis
ID-37,Inisiatif
ID-37,Tim
ID-38,Organisasi
ID-38,Analisis
ID-39,Problem Solving
ID-39,Bahasa
ID-39,Analisis
ID-40,Kreatif
ID-40,Komunikasi
ID-42,Komunikasi
ID-43,Komunikasi
ID-44,Problem Solving
ID-44,Inovatif
ID-44,Komunikasi
ID-44,Teamwork
ID-44,Tim
ID-44,Kreatif
ID-44,Analisis
ID-44,Kritis
ID-44,Inisiatif
ID-45,Problem Solving
ID-45,Inovatif
ID-45,Komunikasi
ID-45,Teamwork
ID-45,Tim
ID-45,Kreatif
ID-45,Analisis
ID-45,Kritis
ID-45,Inisiatif
ID-46,Organisasi
ID-46,Komunikasi
ID-46,Tim
ID-46,Kreatif
ID-46,Proaktif
ID-46,Analisis
ID-46,Teliti
ID-46,Inisiatif
ID-47,Teliti
ID-47,Jujur
ID-47,Responsible
ID-47,Organisasi
ID-48,Analytical Thinking
ID-48,Riset
ID-49,Bahasa
ID-50,Komunikasi
ID-50,Tim
ID-51,Bahasa
ID-52,Komunikasi
ID-53,Komunikasi
ID-53,Inisiatif
ID-54,Bahasa
ID-54,Komunikasi
ID-55,Bahasa
ID-56,Research
ID-56,Komunikasi
ID-56,Analisis
ID-56,Analytical
ID-57,Problem Solving
ID-59,Bahasa Inggris
ID-59,Inovatif
ID-59,Komunikasi
ID-59,Rusia
ID-59,Mandarin
ID-60,Bahasa Inggris
ID-60,Komunikasi
ID-60,Tim
ID-60,Analisis
ID-60,Inisiatif
ID-61,Komitmen
ID-61,Komunikasi
ID-61,Tim
ID-62,Problem Solving
ID-62,Bahasa
ID-62,Analisis
ID-63,Komunikasi
ID-63,Komunikasi
ID-64,Komunikasi
ID-64,Tim
ID-64,Analisis
ID-64,Disiplin
ID-64,Inisiatif
ID-65,Analytical Thinking
ID-65,Riset
ID-66,Komitmen
ID-66,Organisasi
ID-67,Kolaborasi
ID-67,Komunikasi
ID-68,Komunikasi
ID-68,Tim
ID-69,Kolaboratif
ID-69,Bahasa
ID-69,Analisis
ID-69,Komunikasi
ID-70,Analytical Thinking
ID-70,Komunikasi
ID-70,Research
ID-70,English
ID-73,Research
ID-73,Komunikasi
ID-73,Analisis
ID-73,Analytical
ID-74,Bahasa
ID-76,Tim
ID-77,Problem Solving
ID-78,Analytical Thinking
ID-78,Riset
ID-79,Bahasa Inggris
ID-79,Komunikasi
ID-81,Problem Solving
ID-82,Analisis
ID-82,Komunikasi
ID-82,Inisiatif
ID-82,Tim
ID-83,Bekerjasama
ID-83,Kritis
ID-83,Kolaborasi
ID-84,Bahasa Inggris
ID-84,Kreativitas
ID-84,Komunikasi
ID-84,Inisiatif
ID-85,Bahasa Inggris
ID-85,Kreativitas
ID-85,Komunikasi
ID-85,Inisiatif
ID-86,Bahasa Inggris
ID-86,Kreativitas
ID-86,Komunikasi
ID-86,Inisiatif
ID-87,Komunikasi
ID-87,Tim
ID-87,Riset
ID-87,Analisis
ID-87,Kreativitas
ID-88,Komunikasi
ID-89,Komitmen
ID-89,Kerjasama
ID-89,Komunikasi
ID-90,Bahasa
ID-90,Komunikasi
ID-91,Adaptasi
ID-91,Inisiatif
ID-91,Tim
ID-93,Analytical Thinking
ID-93,Research
ID-93,Komunikasi
ID-94,Problem Solving
ID-94,Komunikasi
ID-94,Analytical
ID-95,Analisis
ID-95,Thinking
ID-95,Problem
ID-96,Problem
ID-96,Kreativitas
ID-96,Komunikasi
ID-96,Analisis
ID-96,Kolaborasi
ID-96,Adaptasi
ID-97,Bahasa Inggris
ID-97,Kreativitas
ID-97,Komunikasi
ID-97,Inisiatif
ID-99,Organisasi
ID-99,Komunikasi
ID-99,Tim
ID-99,Kreatif
ID-99,Proaktif
ID-99,Analisis
ID-99,Teliti
ID-99,Inisiatif
ID-101,Problem Solving
ID-101,Bahasa
ID-101,Analisis
