id_perusahaan,Perusahaan
P-1,LLDikti Wilayah III
P-2,Bina Pertiwi
P-3,KALLA GROUP
P-4,Jababeka & Co
P-5,Nusantara Infrastructure
P-6,Emtek
P-7,Prudential Indonesia
P-8,Indekstat
P-9,Orbit Future Academy
P-10,INASTEK
P-11,United Tractors
P-12,Bukit Vista
P-13,LAZNAS LMI
P-14,ADS Digital Partner
P-15,XL Axiata
P-16,Dinas Sosial Kota Medan
P-17,GoTo
P-18,Bank BRI
P-19,Astra
P-20,Surya Citra Media - EMTEK Group
P-21,Healthy One (Pharos and Century Group)
P-22,Widya Robotics
P-23,AwanTunai
P-24,M-Knows Consulting
P-25,Schoters
P-26,Binar Academy
P-27,Sebangku Games
P-28,StickEarn
P-29,Vidio
P-30,Traveloka
P-31,Ralali.com
P-32,STP
P-33,PT Bumitama Gunajaya Agro
P-34,PT PLN (PERSERO)
P-35,Dikti
P-36,"Puslitbang Bimas Agama Dan Layanan Keagamaan, Badan Litbang Dan Diklat Kementerian Agama"
P-37,Shipper
P-38,KLY (Kapanlagi Youniverse)
P-39,Otoritas Jasa Keuangan
P-40,Rahsa Nusantara
P-41,Setjen DPR RI
P-42,BNI
P-43,Telkom
P-44,Telkomsel
P-45,Trakindo
P-46,Kampus Merdeka Bank Indonesia (KMBI)
P-47,Paragon Technology and Innovation
P-48,Kompas Gramedia
P-49,Dinas Komunikasi Dan Informatika Kota Surabaya
P-50,Halodoc
P-51,Alfamart
P-52,BRGM
P-53,Hangry Indonesia
P-54,Grab Indonesia
