id_softskill,Soft Skill
S-1,Komunikasi
S-2,Inisiatif
S-3,Presentasi
S-4,Problem Solving
S-5,Bahasa Inggris
S-6,Organisasi
S-7,Analisis
S-8,Riset
S-9,Teliti
S-10,Communication
S-11,Analytical Thinking
S-12,Komitmen
S-13,Kreatif
S-14,Research
S-15,Kolaborasi
S-16,Kritis
S-17,Kreativitas
S-18,Kerjasama
S-19,Inovatif
S-20,Adaptasi
S-21,Jujur
S-22,Responsible
S-23,Disiplin
S-24,English
S-25,Proaktif
S-26,Penelitian
S-27,Kolaboratif
S-28,Bahasa Rusia
S-29,Bahasa Mandarin
S-30,Bekerjasama
S-31,Tim
